000
"Info1 (Mat.Dat.)";"Ecktermin 🔑:02.2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:03.2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:04.2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:05.2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:06.2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:07.2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:08.2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:09.2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:10.2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:11.2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:12.2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:01.2026,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:02.2026,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:03.2026,Rest-Belastung Gesamt Personal";"Rest-Belastung Gesamt Personal";"Disponent";"Materialnummer 🔑";"Auftragsnummer 🔑";"Offene Menge";"Arbeitsplatznummer";"Werk 🔑 | Info1 (Mat.Dat.) | Arbeitsplatznummer | Materialnummer 🔑 | Ecktermin 🔑"
- "";445;1152;1260;1022;1059;1179;978;1045;969;809;764;686;349;496;12220:00;"";"186";"1521";3.306.069;"";"0100"
   + "ABUS";014;010;019;011;006;016;028;074;041;059;054;000;014;000;350:23;"";"9";"36";61.967;"SMT4";"0100 | ABUS"
   + "AMO";005;026;011;021;013;020;001;012;010;007;009;003;000;000;145:41;"DS1";"16";"59";58.787;"";"0100 | AMO"
   + "BSH";225;679;647;526;536;582;532;564;588;595;553;568;268;427;7299:12;"";"77";"902";2.360.335;"";"0100 | BSH"
   + "DataModul";040;174;281;228;300;254;176;169;159;050;050;040;000;000;1926:50;"CB1";"16";"117";432.437;"";"0100 | DataModul"
   + "Ericsson";016;070;052;041;008;076;007;025;009;000;000;000;000;000;308:00;"CB1";"8";"30";38.881;"";"0100 | Ericsson"
   + "Joyson";005;012;010;010;018;021;022;022;021;021;029;019;019;019;253:09;"CB1";"2";"51";140.416;"SMT4";"0100 | Joyson"
   + "PARITEC";015;020;005;004;004;000;010;005;000;000;005;008;008;005;93:24;"AG1";"5";"27";26.129;"SMT4";"0100 | PARITEC"
   + "Silver Atena";000;020;003;000;024;018;024;013;029;000;018;000;000;018;173:14;"CB1";"8";"32";18.952;"SMT9";"0100 | Silver Atena"
   + "TTTech";031;048;075;036;036;057;025;060;027;024;038;039;025;025;552:00;"DS1";"12";"73";40.600;"SMT4";"0100 | TTTech"
   + "Telic";057;018;030;064;050;050;095;052;027;027;005;005;014;000;500:12;"";"6";"88";82.068;"";"0100 | Telic"
   + "Tremec";021;048;061;048;043;065;034;045;053;010;000;000;000;000;433:51;"DS1";"4";"51";34.502;"SMT7";"0100 | Tremec"
   + "Vector";013;021;061;028;015;013;017;000;000;013;000;000;000;000;184:04;"DH1";"23";"55";10.995;"SMT4";"0100 | Vector"

