000
"Info1 (Mat.Dat.)";"Ecktermin 🔑:W07 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W08 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W09 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W10 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W11 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W12 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W13 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W14 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W15 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W16 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W17 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W18 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W19 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W20 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W21 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W22 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W23 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W24 2025,Rest-Belastung Gesamt Personal";"Rest-Belastung Gesamt Personal";"Disponent";"Materialnummer 🔑";"Auftragsnummer 🔑";"Offene Menge";"Arbeitsplatznummer";"Werk 🔑 | Info1 (Mat.Dat.) | Arbeitsplatznummer | Materialnummer 🔑 | Ecktermin 🔑"
- "";008;096;125;118;102;138;131;162;226;130;157;099;174;147;143;090;222;045;2321:03;"";"72";"301";549.147;"";"0100"
   + "AMO";000;003;000;003;000;010;003;029;006;003;014;003;000;008;022;019;012;006;148:38;"DS1";"16";"27";34.866;"";"0100 | AMO"
   + "BSH";008;081;100;088;088;127;121;082;211;125;128;057;136;139;120;070;172;038;1901:42;"";"44";"240";460.912;"";"0100 | BSH"
   + "Ericsson";000;011;024;025;009;000;006;050;008;001;014;038;037;000;000;000;037;000;263:23;"CB1";"8";"28";50.873;"";"0100 | Ericsson"
   + "Telic";000;001;000;002;003;000;000;000;000;000;000;000;000;000;000;000;000;000;07:20;"DH1";"4";"6";2.496;"";"0100 | Telic"

