000
"Info1 (Mat.Dat.)";"Ecktermin 🔑:W06 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W07 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W08 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W09 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W10 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W11 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W12 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W13 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W14 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W15 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W16 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W17 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W18 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W19 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W20 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W21 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W22 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W23 2025,Rest-Belastung Gesamt Personal";"Ecktermin 🔑:W24 2025,Rest-Belastung Gesamt Personal";"Rest-Belastung Gesamt Personal";"Disponent";"Materialnummer 🔑";"Auftragsnummer 🔑";"Offene Menge";"Arbeitsplatznummer";"Werk 🔑 | Info1 (Mat.Dat.) | Arbeitsplatznummer | Materialnummer 🔑 | Ecktermin 🔑"
- "";001;013;262;273;240;281;284;271;253;242;365;221;188;281;304;295;177;313;261;4534:38;"";"164";"633";1.157.207;"";"0100"
   + "ABUS";001;000;014;000;000;000;000;003;006;000;019;000;000;000;011;000;000;000;000;56:21;"DH1";"6";"8";14.439;"SMT4";"0100 | ABUS"
   + "AMO";000;001;002;003;007;004;006;005;002;003;005;002;000;002;010;007;001;003;003;74:16;"DS1";"15";"26";24.258;"";"0100 | AMO"
   + "BSH";000;006;129;150;142;175;142;160;148;103;195;088;110;150;164;147;079;163;094;2354:47;"";"60";"325";761.980;"";"0100 | BSH"
   + "DataModul";000;000;035;022;023;074;055;020;033;061;061;086;038;060;048;083;035;115;102;960:21;"CB1";"17";"63";220.471;"";"0100 | DataModul"
   + "Ericsson";000;000;013;002;011;008;020;022;007;000;033;002;015;000;000;000;041;000;000;180:22;"CB1";"7";"21";23.863;"SMT4";"0100 | Ericsson"
   + "Joyson";000;000;003;003;000;004;003;002;002;004;002;003;000;002;002;005;000;004;002;47:39;"CB1";"2";"22";20.596;"SMT4";"0100 | Joyson"
   + "PARITEC";000;000;009;005;003;000;013;005;000;000;001;003;000;000;000;004;000;004;000;52:08;"AG1";"5";"14";11.495;"SMT4";"0100 | PARITEC"
   + "Silver Atena";000;000;000;000;007;000;000;013;003;000;000;000;000;000;000;000;000;000;013;38:09;"CB1";"7";"11";6.022;"SMT9";"0100 | Silver Atena"
   + "TTTech";000;000;021;012;000;000;024;018;018;025;009;013;000;033;017;000;000;012;009;216:00;"DS1";"12";"30";16.944;"SMT4";"0100 | TTTech"
   + "Telic";000;000;009;058;016;000;000;000;000;005;016;005;005;016;011;028;005;000;011;191:46;"DH1";"5";"37";32.624;"";"0100 | Telic"
   + "Tremec";000;001;010;010;021;013;012;011;014;014;009;012;009;009;021;005;012;009;014;215:26;"DS1";"4";"28";16.768;"SMT7";"0100 | Tremec"
   + "Vector";000;002;011;004;006;000;006;007;016;023;008;003;008;006;016;013;002;000;009;147:23;"DH1";"24";"48";7.747;"SMT4";"0100 | Vector"

